atomic_number,logtest,ldalabel,gnumarker,gnucolor
1,-0.062684107,1,7,10025880
1,-0.064162619,1,7,10025880
1,-0.038550295,1,7,10025880
1,-0.056642405,1,7,10025880
1,-0.092653188,1,7,10025880
1,-0.094141724,12,15,9699539
1,-0.122683169,12,15,9699539
1,-0.120768236,12,15,9699539
1,-0.089445677,12,15,9699539
1,-0.050032892,1,7,10025880
1,-0.039457886,1,7,10025880
1,-0.034230573,1,7,10025880
1,-0.0691904,12,15,9699539
1,-0.115993131,12,15,9699539
1,-0.097123969,12,15,9699539
1,-0.065036615,1,7,10025880
1,-0.055810118,1,7,10025880
1,-0.075687601,1,7,10025880
1,-0.134476053,12,15,9699539
1,-0.105662161,12,15,9699539
1,-0.063094703,1,7,10025880
1,-0.065079696,1,7,10025880
1,-0.098036471,1,7,10025880
1,-0.07366092,4,9,11529966
1,-0.073966534,4,9,11529966
1,-0.060193255,4,9,11529966
1,-0.091137645,4,9,11529966
1,-0.036149036,4,9,11529966
1,-0.039424494,4,9,11529966
1,-0.048855741,1,7,10025880
1,-0.101866171,1,7,10025880
1,-0.074936895,1,7,10025880
1,-0.045894635,1,7,10025880
1,-0.067427024,1,7,10025880
1,-0.082904829,1,7,10025880
6,-0.133424935,3,1,3329330
6,-0.157960522,2,5,10145074
6,-0.168111273,2,5,10145074
6,-0.166799026,2,5,10145074
6,-0.16538268,2,5,10145074
6,-0.157245407,2,5,10145074
6,-0.157444985,2,5,10145074
6,-0.17147602,2,5,10145074
6,-0.16997887,2,5,10145074
6,-0.192177269,2,5,10145074
6,-0.165962403,2,5,10145074
6,-0.135742321,2,5,10145074
6,-0.158976805,2,5,10145074
6,-0.129147297,2,5,10145074
6,-0.138335716,2,5,10145074
6,-0.132247445,2,5,10145074
6,-0.142119347,2,5,10145074
6,-0.131307439,2,5,10145074
6,-0.119632318,2,5,10145074
6,-0.131507014,2,5,10145074
6,-0.092776012,2,5,10145074
6,-0.02394687,23,3,6737322
8,0.0050239,8,5,6266528
8,-0.106926472,18,15,16738740
1,-0.084372146,1,7,10025880
1,-0.041962753,1,7,10025880
1,-0.104321039,1,7,10025880
1,-0.064620018,4,9,11529966
1,-0.093030717,4,9,11529966
1,-0.08174695,4,9,11529966
1,-0.109986095,4,9,11529966
1,-0.190665725,4,9,11529966
1,-0.10028561,4,9,11529966
1,-0.083862552,4,9,11529966
1,-0.11388293,4,9,11529966
1,-0.084401186,4,9,11529966
1,-0.07271933,4,9,11529966
1,-0.084167737,4,9,11529966
1,-0.077367033,4,9,11529966
1,-0.089416828,4,9,11529966
1,-0.080242734,4,9,11529966
1,-0.160557968,4,9,11529966
1,-0.092920376,4,9,11529966
1,-0.116383625,4,9,11529966
1,-0.088390334,4,9,11529966
1,-0.102357055,4,9,11529966
1,-0.075035786,4,9,11529966
1,-0.076082214,4,9,11529966
1,-0.076302793,4,9,11529966
1,-0.071358758,4,9,11529966
1,-0.102905589,4,9,11529966
1,-0.108532944,4,9,11529966
1,-0.082693606,4,9,11529966
1,-0.057639415,4,9,11529966
1,-0.08146952,4,9,11529966
1,-0.052616553,4,9,11529966
1,-0.076129929,4,9,11529966
1,-0.074961136,4,9,11529966
1,-0.058484216,4,9,11529966
1,-0.044511076,4,9,11529966
1,-0.022995246,4,9,11529966
1,-0.093983822,4,9,11529966
1,-0.067130307,4,9,11529966
1,-0.077250674,4,9,11529966
1,-0.051894174,4,9,11529966
1,-0.069143807,4,9,11529966
1,-0.085941183,4,9,11529966
1,-0.012477785,46,1,14381203
6,-0.076766705,19,5,32768
6,-0.0775049,19,5,32768
6,-0.077888098,19,5,32768
6,-0.075507469,19,5,32768
6,-0.076243381,19,5,32768
6,-0.0768857,19,5,32768
1,0.042668227,12,15,9699539
1,0.028960856,12,15,9699539
1,0.040483533,12,15,9699539
1,0.057516192,12,15,9699539
1,0.01222324,12,15,9699539
1,0.05685263,12,15,9699539
6,-0.045194008,3,1,3329330
6,0.00389984,9,11,35723
8,0.020790583,1,7,16747520
6,0.03644856,10,2,6591981
8,0.084568013,25,5,5597999
6,0.073353739,9,11,35723
8,0.089892412,4,15,3978097
6,0.100696761,9,11,35723
8,0.086365229,4,15,3978097
6,0.053741565,9,11,35723
8,0.073230952,4,15,3978097
1,-0.043830419,1,7,10025880
1,0.005768815,1,7,10025880
1,-0.044544582,1,7,10025880
1,0.006638646,10,2,4734347
1,0.073361161,11,3,1644912
1,0.02023267,57,2,15794160
1,0.067403017,10,2,4734347
1,0.027073143,40,5,16752762
1,0.020435252,10,2,4734347
1,-0.020881056,40,5,16752762
1,-0.002801803,10,2,4734347
1,-0.023639339,40,5,16752762
6,-0.02151703,3,1,3329330
6,-0.044928352,1,7,10025880
6,-0.034782244,3,1,3329330
6,-0.037495465,2,5,10145074
6,0.060975806,9,11,35723
8,0.110973001,4,15,3978097
6,0.032178937,23,3,6737322
8,0.021169765,8,5,6266528
8,-0.095711037,18,15,16738740
1,0.028743448,1,7,10025880
1,-0.036665894,1,7,10025880
1,-0.034710803,1,7,10025880
1,-0.067595909,8,7,3100495
1,0.001124091,1,7,10025880
1,0.01723398,1,7,10025880
1,0.000490069,1,7,10025880
1,0.054926903,4,9,11529966
1,0.046882423,4,9,11529966
1,-0.009215336,10,2,4734347
1,0.06371254,40,5,16752762
1,0.008403068,46,1,14381203
6,-0.100896789,3,1,3329330
6,-0.090493615,23,3,6737322
8,-0.102657143,18,15,16738740
8,-0.156606721,1,7,16747520
6,-0.081389675,22,5,3100495
6,-0.093505366,19,5,32768
6,-0.097044775,19,5,32768
6,-0.108555932,19,5,32768
6,-0.077781839,19,5,32768
6,-0.079436801,19,5,32768
1,-0.005443673,1,7,10025880
1,0.009260586,1,7,10025880
1,-0.033689227,1,7,10025880
1,-0.095649112,12,15,9699539
1,-0.019542959,12,15,9699539
1,-0.032800709,12,15,9699539
1,-0.031143943,12,15,9699539
1,-0.085229689,12,15,9699539
6,-0.069680722,3,1,3329330
6,-0.027327745,1,7,10025880
6,-0.045982324,3,1,3329330
6,-0.03075541,2,5,10145074
6,-0.066020864,22,5,3100495
8,-0.079226813,15,11,16758465
6,-0.007556919,23,3,6737322
8,-0.018567394,8,5,6266528
8,-0.142189139,18,15,16738740
1,-0.043272867,1,7,10025880
1,-0.040312862,1,7,10025880
1,-0.058276729,1,7,10025880
1,-0.096495453,8,7,3100495
1,-0.017286435,1,7,10025880
1,-0.014296601,1,7,10025880
1,-0.054157052,1,7,10025880
1,-0.013283005,4,9,11529966
1,-0.051240704,4,9,11529966
1,-0.009478918,46,1,14381203
8,-0.09261804,8,5,6266528
6,-0.095464628,23,3,6737322
8,-0.200299839,18,15,16738740
6,-0.148422273,33,1,8087790
7,-0.049663313,18,15,16738740
6,-0.204281486,33,1,8087790
6,-0.141008769,18,13,9419919
6,-0.157389905,19,5,32768
6,-0.152792783,19,5,32768
6,-0.12964749,19,5,32768
6,-0.116225964,19,5,32768
6,-0.110622323,19,5,32768
6,-0.049272128,19,5,32768
1,-0.05224355,46,1,14381203
1,-0.120835327,12,15,9699539
1,-0.081173058,12,15,9699539
1,-0.073200942,12,15,9699539
1,-0.108014271,12,15,9699539
1,-0.150640747,12,15,9699539
1,-0.115352195,12,15,9699539
8,-0.004452573,8,5,6266528
6,-0.046781283,23,3,6737322
8,-0.116877169,18,15,16738740
6,-0.196824486,19,5,32768
6,-0.102081716,19,5,32768
6,-0.086227242,19,5,32768
6,-0.17864199,19,5,32768
6,-0.04271249,23,3,6737322
8,-0.006220877,8,5,6266528
8,-0.088598189,18,15,16738740
1,-0.010405677,46,1,14381203
1,-0.081557935,12,15,9699539
1,-0.224810984,12,15,9699539
1,-0.191569133,12,15,9699539
1,-0.0395025,12,15,9699539
1,-0.017674795,46,1,14381203
8,-0.014746361,16,1,16770273
6,-0.053635285,21,13,2003199
6,0.012072563,22,5,3100495
6,-0.110390123,19,5,32768
6,-0.07382037,19,5,32768
6,-0.077891523,21,13,2003199
8,-0.112591173,1,7,16747520
1,0.011158188,13,11,8421376
1,-0.029118553,12,15,9699539
1,0.036073206,12,15,9699539
1,0.18375503,13,11,8421376
8,0.033365792,4,15,3978097
6,0.006596063,9,11,35723
6,-5.12579E-05,9,11,35723
8,0.015242141,4,15,3978097
6,-0.053745606,9,11,35723
8,0.054622661,4,15,3978097
6,-0.027638055,23,3,6737322
8,0.044080758,8,5,6266528
8,-0.0925398,18,15,16738740
6,-0.04154171,9,11,35723
8,0.058072857,4,15,3978097
6,-0.037345966,23,3,6737322
8,-0.004789573,8,5,6266528
8,-0.087894159,18,15,16738740
1,-0.012985338,40,5,16752762
1,-0.044160308,10,2,4734347
1,-0.028442755,10,2,4734347
1,-0.025818806,40,5,16752762
1,-0.015755653,10,2,4734347
1,-0.026783099,40,5,16752762
1,-0.014482338,46,1,14381203
1,0.00418891,10,2,4734347
1,-0.033334629,40,5,16752762
1,-0.026404937,46,1,14381203
6,-0.039435067,3,1,3329330
6,0.074400432,0,13,2263842
6,-0.033568174,3,1,3329330
6,0.011308132,2,5,10145074
6,-0.01050798,23,3,6737322
8,0.00285347,8,5,6266528
8,-0.066237535,18,15,16738740
6,0.038280038,23,3,6737322
8,0.030224551,8,5,6266528
8,-0.087819231,18,15,16738740
1,-0.047489154,1,7,10025880
1,-0.063274791,1,7,10025880
1,-0.041207839,1,7,10025880
1,-0.053870224,1,7,10025880
1,-0.03589494,1,7,10025880
1,-0.074411638,1,7,10025880
1,-0.01288352,4,9,11529966
1,0.042927633,4,9,11529966
1,-0.029781218,46,1,14381203
1,-0.028739857,46,1,14381203
6,-0.139553237,3,1,3329330
6,-0.162965892,2,5,10145074
6,-0.157232608,2,5,10145074
6,-0.155260776,2,5,10145074
6,-0.171236857,2,5,10145074
6,-0.165535221,2,5,10145074
6,-0.16979892,2,5,10145074
6,-0.172709617,2,5,10145074
6,-0.126351993,2,5,10145074
6,-0.130604138,2,5,10145074
6,-0.11008167,2,5,10145074
6,0.008193683,23,3,6737322
8,0.037328749,8,5,6266528
8,-0.093303046,18,15,16738740
1,-0.150888864,1,7,10025880
1,-0.1112104,1,7,10025880
1,-0.118505337,1,7,10025880
1,-0.076908707,4,9,11529966
1,-0.083746642,4,9,11529966
1,-0.079556059,4,9,11529966
1,-0.08317441,4,9,11529966
1,-0.092828173,4,9,11529966
1,-0.108641159,4,9,11529966
1,-0.099007206,4,9,11529966
1,-0.128027262,4,9,11529966
1,-0.108300533,4,9,11529966
1,-0.100798935,4,9,11529966
1,-0.099057064,4,9,11529966
1,-0.113267972,4,9,11529966
1,-0.092376631,4,9,11529966
1,-0.098936618,4,9,11529966
1,-0.100935573,4,9,11529966
1,-0.090421738,4,9,11529966
1,-0.081171953,4,9,11529966
1,-0.083328154,4,9,11529966
1,-0.032645729,4,9,11529966
1,-0.067467949,4,9,11529966
1,0.039018849,46,1,14381203
6,-0.039342106,3,1,3329330
6,-0.045306482,2,5,10145074
6,0.027575422,22,5,3100495
8,-0.093830269,15,11,16758465
6,-0.068105938,1,7,10025880
6,-0.059270449,3,1,3329330
6,-0.037036967,3,1,3329330
1,-0.01567698,1,7,10025880
1,-0.021247588,1,7,10025880
1,-0.092121758,1,7,10025880
1,-0.049601799,4,9,11529966
1,-0.013496583,4,9,11529966
1,-0.054009272,8,7,3100495
1,-0.029358064,1,7,10025880
1,-0.007032024,1,7,10025880
1,-0.036374688,1,7,10025880
1,0.022983965,1,7,10025880
1,-0.013238077,1,7,10025880
1,-0.084298057,1,7,10025880
6,0.0197878,3,1,3329330
6,0.017873042,1,7,10025880
6,0.057925361,6,3,9109643
7,-0.067314359,12,7,15787660
6,-0.242637705,29,11,16716947
8,-0.035052033,21,5,8388736
7,-0.172607528,12,7,15787660
6,-0.002091193,26,1,16766720
8,-0.04399567,17,3,16716947
1,0.035007125,1,7,10025880
1,0.018249624,1,7,10025880
1,-0.091526535,1,7,10025880
1,-0.022769684,8,7,3100495
1,0.001614094,5,1,3978097
1,0.089831316,5,1,3978097
1,-0.036917262,32,13,16753920
1,-0.055616687,32,13,16753920
7,0.132067252,3,1,6737322
6,-0.103738511,6,3,9109643
6,-0.025012046,26,1,16766720
8,-0.100062465,17,3,16716947
7,0.065106733,15,11,16758465
6,0.032619533,6,3,9109643
6,-0.008851311,2,5,10145074
6,-0.007283439,2,5,10145074
6,0.031673982,11,3,1644912
6,-0.023604691,23,3,6737322
8,-0.012810192,8,5,6266528
8,-0.090124865,18,15,16738740
1,-0.05018687,24,5,16768685
1,-0.054264197,24,5,16768685
1,-0.07272281,5,1,3978097
1,-0.022153978,5,1,3978097
1,-0.041738752,5,1,3978097
1,-0.00978372,5,1,3978097
1,0.010219597,4,9,11529966
1,-0.056102806,4,9,11529966
1,-0.00663113,4,9,11529966
1,-0.010368402,4,9,11529966
1,0.007522444,9,11,35723
1,-0.014006249,46,1,14381203
8,-0.047154445,7,2,11393254
6,-0.054480556,22,5,3100495
6,-0.066674316,19,5,32768
6,-0.061021152,19,5,32768
6,-0.107121913,19,5,32768
6,-0.073788353,19,5,32768
6,-0.052523723,18,13,9419919
6,-0.088689916,21,13,2003199
8,-0.086307967,16,1,16770273
1,-0.052635038,44,7,16738740
1,-0.016230511,12,15,9699539
1,-0.02515405,12,15,9699539
1,-0.024167637,12,15,9699539
1,-0.064834702,12,15,9699539
1,-0.124470389,13,11,8421376
8,0.063297186,5,9,10025880
6,-0.061052569,5,1,11529966
6,0.025394835,9,11,35723
8,0.005783613,1,7,16747520
6,-0.01518136,10,2,6591981
8,-0.004389515,1,7,16747520
6,-0.029474673,9,11,35723
6,-0.026859861,9,11,35723
8,0.042520232,4,15,3978097
6,-0.029853693,9,11,35723
8,0.038063611,4,15,3978097
6,-0.044592756,10,2,6591981
8,0.002388846,1,7,16747520
6,-0.028768194,9,11,35723
6,0.002835937,9,11,35723
8,0.054666243,4,15,3978097
6,-0.004772763,9,11,35723
8,0.060165793,4,15,3978097
6,-0.002498489,10,2,6591981
8,0.056665273,25,5,5597999
8,0.034142416,1,7,16747520
6,-0.020448554,9,11,35723
6,-0.037361136,5,1,11529966
8,0.041010697,5,9,10025880
8,0.016762975,1,7,16747520
6,-0.023571017,9,11,35723
6,-0.054407153,5,1,11529966
8,0.050454375,5,9,10025880
6,-0.007312525,9,11,35723
8,0.028492489,4,15,3978097
6,0.023302674,9,11,35723
8,0.045271539,4,15,3978097
6,0.006274681,9,11,35723
8,0.058838105,4,15,3978097
1,-0.023941379,43,13,16758465
1,0.005467426,6,3,9109643
1,-0.041742031,6,3,9109643
1,-0.013751548,10,2,4734347
1,0.002304211,11,3,1644912
1,-0.004839999,10,2,4734347
1,-0.005966722,10,2,4734347
1,-0.02311168,40,5,16752762
1,-0.010419149,10,2,4734347
1,-0.025207546,40,5,16752762
1,0.004507213,11,3,1644912
1,-0.011227583,10,2,4734347
1,-0.015590145,10,2,4734347
1,-0.020309675,40,5,16752762
1,0.000712801,10,2,4734347
1,-0.022736004,40,5,16752762
1,0.020699824,11,3,1644912
1,-0.02972958,57,2,15794160
1,-0.01411518,10,2,4734347
1,-0.022886463,6,3,9109643
1,-0.033506498,6,3,9109643
1,-0.021315548,43,13,16758465
1,-0.015804992,10,2,4734347
1,0.017658597,6,3,9109643
1,-0.027833391,6,3,9109643
1,-0.022754271,43,13,16758465
1,-0.007009222,10,2,4734347
1,-0.023282421,40,5,16752762
1,-0.008926697,10,2,4734347
1,-0.022374308,40,5,16752762
1,-0.010008801,10,2,4734347
1,-0.022065048,40,5,16752762
7,0.04564917,4,15,3978097
6,-0.060828464,33,1,8087790
6,-0.080964628,19,5,32768
6,-0.060855547,19,5,32768
6,-0.084557328,19,5,32768
6,-0.072511091,19,5,32768
6,-0.064506484,19,5,32768
1,-0.040436672,25,9,16776960
1,-0.040214206,25,9,16776960
1,0.042928883,12,15,9699539
1,-0.013053588,12,15,9699539
1,0.000952503,12,15,9699539
1,-0.005047424,12,15,9699539
1,0.012512062,12,15,9699539
6,-0.072784757,3,1,3329330
6,-0.013824184,26,1,16766720
8,-0.086309301,17,3,16716947
7,-0.045975077,12,7,15787660
6,-0.115526482,6,3,9109643
6,-0.097853743,2,5,10145074
6,-0.151030451,6,3,9109643
7,0.002721219,12,7,15787660
6,-0.168253217,6,3,9109643
6,-0.106034393,2,5,10145074
6,-0.131838341,2,5,10145074
6,-0.136328049,6,3,9109643
7,-0.018906717,12,7,15787660
6,-0.139600843,6,3,9109643
6,-0.077343393,2,5,10145074
6,-0.065526847,6,3,9109643
7,0.202804841,3,1,6737322
1,-0.039229431,1,7,10025880
1,-0.030204723,1,7,10025880
1,-0.008881636,1,7,10025880
1,-0.055216081,32,13,16753920
1,-0.022606923,5,1,3978097
1,-0.034563812,5,1,3978097
1,-0.094928567,4,9,11529966
1,-0.158358649,4,9,11529966
1,-0.096335382,5,1,3978097
1,-0.091503501,5,1,3978097
1,-0.071158793,32,13,16753920
1,-0.071844283,5,1,3978097
1,-0.114733845,5,1,3978097
1,-0.125894947,4,9,11529966
1,-0.112500628,4,9,11529966
1,-0.018071763,4,9,11529966
1,-0.088377045,4,9,11529966
1,-0.08658277,5,1,3978097
1,-0.044385774,5,1,3978097
1,-0.040972787,32,13,16753920
1,-0.073653251,5,1,3978097
1,-0.072316213,5,1,3978097
1,-0.081676581,4,9,11529966
1,-0.040017016,4,9,11529966
1,-0.046024027,5,1,3978097
1,0.076968345,5,1,3978097
1,-0.036543094,24,5,16768685
1,-0.052375217,24,5,16768685
7,0.003543462,4,15,3978097
6,-0.076894962,33,1,8087790
6,-0.090638806,19,5,32768
6,-0.073068327,19,5,32768
6,-0.088410129,18,13,9419919
6,-0.07355854,19,5,32768
6,-0.086203222,19,5,32768
6,-0.063458883,23,3,6737322
8,-0.073506705,8,5,6266528
8,-0.172710023,18,15,16738740
1,-0.04922158,25,9,16776960
1,-0.047827494,25,9,16776960
1,-0.039802914,12,15,9699539
1,-0.115139261,12,15,9699539
1,-0.105924257,12,15,9699539
1,-0.043764608,12,15,9699539
1,-0.03248408,46,1,14381203
7,-0.119158738,8,3,6266528
6,-0.376000781,31,2,9662683
7,-0.140839906,18,15,16738740
6,-0.079296365,27,3,16711935
6,-0.044749422,33,1,8087790
7,-0.096622613,18,15,16738740
6,-0.123923727,34,15,14381203
7,-0.082249915,15,11,16758465
6,0.068519476,44,2,16119260
6,-0.03493223,2,5,10145074
6,0.003641652,9,11,35723
8,0.065510477,4,15,3978097
6,-0.026996805,9,11,35723
6,-0.03060106,5,1,11529966
8,0.074116126,5,9,10025880
8,0.005880086,1,7,16747520
6,-0.040618569,26,1,16766720
8,-0.09212645,17,3,16716947
7,-0.121798996,12,7,15787660
1,-0.045853998,31,2,16032864
1,-0.043128816,31,2,16032864
1,0.109205195,16,1,9055202
1,-0.038143092,55,9,16121850
1,-0.026363902,4,9,11529966
1,-0.044354448,4,9,11529966
1,-0.00804094,10,2,4734347
1,-0.027510431,40,5,16752762
1,-0.008394741,10,2,4734347
1,0.003220139,6,3,9109643
1,-0.032269845,6,3,9109643
1,-0.010357383,43,13,16758465
1,-0.072732885,32,13,16753920
6,-0.061419184,3,1,3329330
6,-0.103897897,2,5,10145074
6,-0.094654482,2,5,10145074
6,-0.124015062,2,5,10145074
6,-0.101096107,2,5,10145074
6,-0.132408065,21,13,2003199
8,-0.096888497,16,1,16770273
1,-0.038353684,1,7,10025880
1,-0.069474646,1,7,10025880
1,-0.015241548,1,7,10025880
1,-0.064801185,4,9,11529966
1,-0.056246358,4,9,11529966
1,-0.071727852,4,9,11529966
1,-0.054284516,4,9,11529966
1,-0.071730932,4,9,11529966
1,-0.069553345,4,9,11529966
1,-0.063335701,4,9,11529966
1,-0.069507662,4,9,11529966
1,-0.084655063,13,11,8421376
8,-0.064766629,8,5,6266528
6,-0.064196869,23,3,6737322
8,-0.165996498,18,15,16738740
6,-0.16950707,19,5,32768
6,-0.152306426,19,5,32768
6,-0.178809993,18,13,9419919
6,-0.130592925,19,5,32768
6,-0.10598862,19,5,32768
6,-0.036106461,22,5,3100495
8,-0.026666151,7,2,11393254
6,-0.108092324,19,5,32768
6,-0.118853578,19,5,32768
1,-0.030458052,46,1,14381203
1,-0.138115355,12,15,9699539
1,-0.239745777,12,15,9699539
1,-0.111663736,12,15,9699539
1,-0.057571659,12,15,9699539
1,-0.016394763,44,7,16738740
1,-0.058984153,12,15,9699539
1,-0.135982532,12,15,9699539
6,0.01772896,8,7,8388736
7,0.186233733,12,7,15787660
6,0.02902815,8,7,8388736
1,0.113730566,3,1,3329330
1,0.19834158,3,1,3329330
1,0.194962019,3,1,3329330
1,0.025595966,32,13,16753920
1,0.155460816,3,1,3329330
1,0.176363851,3,1,3329330
1,0.111447149,3,1,3329330
8,0.011612806,8,5,6266528
6,0.007306694,23,3,6737322
8,-0.061549722,18,15,16738740
6,0.051693166,11,3,1644912
7,0.240759061,12,7,15787660
6,0.022113601,6,3,9109643
6,0.127118506,9,11,35723
8,0.114253816,4,15,3978097
6,-0.00161533,2,5,10145074
1,-0.018420503,46,1,14381203
1,-6.21998E-05,9,11,35723
1,-0.011927484,32,13,16753920
1,0.143436303,5,1,3978097
1,0.104737402,5,1,3978097
1,0.079085634,10,2,4734347
1,0.020012845,40,5,16752762
1,0.021659331,4,9,11529966
1,-0.000736964,4,9,11529966
6,-0.126943681,3,1,3329330
6,-0.105379135,2,5,10145074
6,-0.055970054,1,7,10025880
6,-0.067833614,3,1,3329330
6,-0.039361373,23,3,6737322
8,-0.163628926,18,15,16738740
8,-0.096497094,1,7,16747520
6,-0.05161169,9,11,35723
6,-0.195900959,2,5,10145074
6,-0.070969031,23,3,6737322
8,-0.119153883,18,15,16738740
8,-0.164514662,18,15,16738740
6,-0.148757271,6,3,9109643
7,-0.411337088,25,2,8421376
6,-0.13505187,8,7,8388736
6,-0.160491495,8,7,8388736
6,-0.16994417,8,7,8388736
1,-0.045646006,1,7,10025880
1,-0.082425301,1,7,10025880
1,-0.055641307,1,7,10025880
1,-0.060922375,4,9,11529966
1,-0.041278693,4,9,11529966
1,-0.079038023,8,7,3100495
1,-0.062983444,1,7,10025880
1,-0.045755126,1,7,10025880
1,-0.044929387,1,7,10025880
1,-0.06216609,10,2,4734347
1,-0.154978819,4,9,11529966
1,-0.094261732,4,9,11529966
1,-0.034873772,5,1,3978097
1,-0.090692604,5,1,3978097
1,-0.09783664,3,1,3329330
1,-0.069465065,3,1,3329330
1,-0.098159828,3,1,3329330
1,-0.077468878,3,1,3329330
1,-0.070162735,3,1,3329330
1,-0.127213593,3,1,3329330
1,-0.072761497,3,1,3329330
1,-0.039258823,3,1,3329330
1,-0.056875481,3,1,3329330
6,0.025442738,8,7,8388736
7,-0.113065682,15,11,16758465
6,-0.118357673,29,11,16716947
8,-0.006009157,21,5,8388736
7,-0.109939509,12,7,15787660
6,-0.009268249,33,1,8087790
6,-0.077393425,27,3,16711935
7,-0.176827492,12,7,15787660
6,-0.329997326,29,11,16716947
8,-0.089528779,21,5,8388736
7,-0.178197684,12,7,15787660
6,-0.045043247,26,1,16766720
8,-0.111229761,17,3,16716947
1,-0.045548696,3,1,3329330
1,-0.073771596,3,1,3329330
1,0.000934439,3,1,3329330
1,-0.063582566,32,13,16753920
1,-0.043407373,32,13,16753920
1,-0.071429332,32,13,16753920
6,-0.032512019,3,1,3329330
6,-0.030199692,1,7,10025880
6,-0.070898973,3,1,3329330
6,-0.022622402,2,5,10145074
6,0.058497838,9,11,35723
8,0.090654613,4,15,3978097
6,0.010576848,23,3,6737322
8,0.024165374,8,5,6266528
8,-0.104560669,18,15,16738740
1,0.033236961,1,7,10025880
1,-0.003316136,1,7,10025880
1,-0.017516408,1,7,10025880
1,-0.047478479,8,7,3100495
1,-0.054854172,1,7,10025880
1,-0.052809822,1,7,10025880
1,-0.064645154,1,7,10025880
1,0.027564007,4,9,11529966
1,-0.064524228,4,9,11529966
1,0.021493007,10,2,4734347
1,0.026454003,40,5,16752762
1,-0.013712388,46,1,14381203
6,-0.08960139,1,7,10025880
6,-0.094271191,2,5,10145074
6,-0.086035133,2,5,10145074
6,-0.103170955,22,5,3100495
